Organization,Services,Link,Social,Description
CHIRLA Immigrant Rights Fundraiser,legal aid fundraising,https://www.chirla.org/donatenow/,,"Giving to CHIRLA is crucial to protect families because it provides essential legal services and advocacy that safeguard immigrant rights, ensuring that vulnerable communities have a voice and a support system. For over 39 years, CHIRLA has been making a powerful impact by empowering immigrants through education, legal assistance, and policy change."
Immigrant Defenders Law Center Fundraiser,legal aid fundraising,https://give.immdef.org/give/545119#!/donation/checkout,Immigrant Defenders Law Center,We envision a world where no immigrant is forced to face an unjust immigration system alone.
Familias Reunidas Bond Program,legal aid fundraising,https://www.borderangels.org/bond-program.html,Border Angels,"The Familias Reunidas Bond Program was established in December 2019 in response to the anti-immigrant agenda that the current administration continues to uphold, which results in the incarceration of immigrants and asylum seekers in ICE detention centers."
Community Justice Exchange Bail Fund Network,legal aid fundraising,https://www.communityjusticeexchange.org/en/nbfn-directory#california-en,Community Justice Exchange,The National Bail Fund Network is made up of over ninety community bail and bond funds across the country. We regularly update this listing of community bail funds that are freeing people by paying bail/bond and are also fighting to abolish the money bail system and pretrial detention.
Carlos and Iker Need Help After Celina's Abduction by ICE,legal and family aid,https://www.gofundme.com/f/carlos-and-son-need-help-after-celinas-abduction-by-ice,@valariekaur,"Celina came to the U.S. two years ago with her partner, Carlos, and their now 4-year-old son Iker Javier, hoping to build a better life. She worked hard selling tacos on the streets of Ladera Heights in Los Angeles, doing what she could to support her family. But on Monday, everything changed. While working outside Home Depot, Celina was suddenly attacked by several masked men who forced her into a car and drove off. She is now in an ICE detention center away from her family. Carlos, a day laborer is now left alone, caring for their young son, who keeps asking when his mamá will come home. Celina is a mother, a partner, and a beloved member of her community. She deserves to be safe. Her family urgently needs our support. They are navigating this nightmare and will need legal help, and stability. We are raising funds to assist Carlos and his son as they try to hold their lives together. Please donate, share her story, and stand with this family. No one should vanish without a trace while trying to do their work. Let’s show Celina’s family they are not alone."
,,,,
Help Free Isaac from ICE Detention,legal aid,https://www.gofundme.com/f/urgent-help-needed-support-isaacs-legal-fight-against-ice,NDLON,"Isaac has lived in the United States for well over a decade. He studied culinary arts and worked in restaurants across Los Angeles. In the early morning hours of June 18, he was kidnapped by masked officers in an ICE raid while waiting with his coworkers to be picked up for a job. Isaac has built a life here, a community, and a future. But all of that is now at risk. Isaac has now been detained for over two weeks. He has a bond hearing soon, but no way to pay bond if granted. Please donate what you can—no amount is too small. Funds will go to cover bond if granted, legal costs, and to help Isaac get back on his feet after detention. Your support could make the difference between freedom and permanent separation from the life Isaac built in the U.S."
Petition Home Depot,Petition for Boycott,https://actionnetwork.org/petitions/tell-home-depot-get-ice-out-now,NDLON,"Every day, ICE agents are targeting day laborers in Home Depot parking lots—detaining and deporting workers who are just trying to survive. This is a human rights crisis. Masked men, armed and unaccountable, are terrorizing workers, customers, and surrounding communities. This is happening on Home Depot’s watch, on its property, with its silence. We demand that Home Depot immediately: Publicly condemn ICE raids on its property. Prohibit federal immigration enforcement from using its parking lots to target day laborers. Commit to creating safe, welcoming spaces for all people regardless of status. If anyone is unsafe in their stores, then we are all unsafe. If Home Depot stays silent, it will be complicit. And it will face not only moral shame—but the loss of trust and business across the U.S. and beyond."
¡Ayúdanos a traerla de vuelta con su familia!,legal aid fundraising,https://www.gofundme.com/f/fondos-para-pago-migratorio-ana-larin?attribution_id=sl:82bdf5fc-1150-4a02-9e19-9dbc24229950&utm_campaign=natman_sharesheet_dash&utm_medium=customer&utm_source=copy_link,NDLON,"Let’s Stand with Ana Larín and Her Daughters: A Mother Fighting to Be Reunited with Her Girls and Give Them a Better Future. Ana Larín is a brave Salvadoran mother of two young daughters, one of whom is just 4 years old and has autism. Like any mother, Ana’s biggest dream is to give her children safety, love, and a dignified future. But today, Ana needs our help. Ana was arrested in Chelsea, Massachusetts, and is currently being held in Texas, waiting for her next immigration court hearing on July 14. Her heart is broken being away from her daughters—especially her youngest, who needs special care. We are raising funds to hire an immigration attorney who can represent Ana on that crucial day, so she can fight for her right to stay in the U.S. legally and be reunited with her children. Ana simply wants the chance to work honestly and raise her daughters in a safe, stable environment. Your donation can help change the course of this family's future. With your support, Ana can receive proper legal defense, regain her freedom, and return to the arms of her daughters, who are waiting with hope and love. Thank you for your generosity, for offering hope, and for believing in the strength of a mother’s love."
Bring Rosalina Back to Her Children,legal aid fundraising,https://www.gofundme.com/f/bring-rosalina-back-to-her-children?attribution_id=sl:4c21abd7-1b1d-4dad-aef8-9d4a294d6ef9&lang=en_US&utm_campaign=man_ss_icons&utm_medium=_,NDLON,"Help Bring Rosalina Home. On the morning of June 28th, 2025, in Pasadena, California, Rosalina was unjustly detained by federal immigration agents. Agents claimed to be searching for someone else, but still took Rosalina into custody — despite having no reason to do so. Even more devastating, this happened in front of her children. Rosalina is a deeply loved member of our community — a hardworking mother doing everything she can to build a better life for her kids. She has worked tirelessly as a caregiver for the elderly, offering comfort, companionship, and dignity to those most in need. Her warmth and generosity extended far beyond her job; at home, Rosalina was known as the mom who always greeted her children’s friends with a warm smile, a full plate, and an open heart. Rosalina is a deeply loved member of our community — a hardworking mother doing everything she can to build a better life for her kids. She has worked tirelessly as a caregiver for the elderly, offering comfort, companionship, and dignity to those most in need. Her warmth and generosity extended far beyond her job; at home, Rosalina was known as the mom who always greeted her children’s friends with a warm smile, a full plate, and an open heart. We are heartbroken and outraged. No one should be taken from their family like this. Rosalina’s detention has left her children traumatized and without the daily care and love that only a mother can give. We’re raising funds to support Rosalina’s legal defense, cover the basic needs of her children during this painful time, and help bring her home where she belongs. Please consider donating what you can. Every dollar helps. And if you’re unable to give, please share this campaign with your networks. Together, we can stand against this injustice and bring Rosalina back to her family."
Oscar Bermudes Community Defense Fund,legal aid fundraising,https://www.gofundme.com/f/oscar-bermudes-community-defense-fund,NDLON,"Solidarity with Oscar Bermudes and his family! While driving his work truck in 2023, our friend Oscar’s GPS took him to Canada for just a few minutes - he’s been fighting his deportation ever since. The Bermudes family moved to Kearny from El Salvador almost twenty years ago. Oscar and his family are community organizers with Movimiento Cosecha New Jersey. At the height of the Covid pandemic, Oscar and his wife Maria delivered food to immigrant families who were hit the hardest. If you've ever been to a Cosecha event and had great pupusas, it’s likely that they were Maria’s. Maria and Oscar are madly in love, and often speak directly to each other when they speak at our protests and rallies. They recently renewed their commitment to each other in September 2024. They have 3 beautiful children (Liseth, Oscar Jr. and Angelito) who are asking for your support. As a community, we are the primary line of defense and we’re not going to let any president intimidate us into fear. As the Trump administration begins its war on immigrant communities across the country, we need to make sure that Oscar and his family have the support they need. Oscar has had to miss work while dealing with the logistics of his case, and several members of his family have serious health conditions. As Oscar and his family prepare for his next ICE check-in, we want to make sure that they won’t have to worry about life expenses and his wife’s medical bills. We appreciate your support and solidarity. Please share this fundraiser widely."
Justice for Jorge: Fighting Back Against ICE Detentio,legal aid fundraising,https://www.gofundme.com/f/justice-for-jorge-fighting-back-against-ice-detention?attribution_id=sl:cc37969a-c1b2-451a-b25d-c1781fcf3b04&lang=en_US&utm_campaign=man_ss_icons&utm_medium=customer&utm_source=copy_link,NDLON,"Jorge is a 22-year-old asylum seeker from Venezuela who has already survived more than anyone should have to endure. He fled his homeland to escape extreme violence, political and economic turmoil, and life-threatening conditions—risking everything in search of safety. Now, instead of being met with compassion, he has been unjustly detained by ICE. On February 19, 2025, Jorge received a call from ICE instructing him to report the next day. He complied, as he has always done throughout his asylum process. But when he arrived on February 20, he was informed that his case was undergoing “custody redetermination.” Instead of being released, he was sent to the Northwest Detention Center (NW ICE Processing Center), where he now awaits his court date. On March 20, Jorge has his master calendar hearing, in which he will be requesting a bond - which could be as high as $15,000. Jorge’s journey to the U.S. has been one of immense hardship and courage. After fleeing Venezuela, he first sought refuge in Colombia, then Ecuador, only to face further violence and instability. Determined to find safety, he crossed the Darién Gap—not once, but twice—enduring extortion, threats, and the horrors of a migration route where too many lose their lives. His choice to come to the U.S. was not made lightly—it was a desperate attempt to survive, build a future, and support his family. Jorge is a beloved member of our community. Everyone who knows him can attest to his kindness, his infectious joy, and his unwavering strength. He is actively involved in his community at large through his dedication to faith work with his church: Iglesia de Jesucristo Pentecostal de Las Tinieblas a La Luz. He loves dancing bachata and playing any type of sport. He is a dedicated friend who would do anything to help those around him. In addition, Jorge has been an active leader at Voz Workers’ Rights Education Project since March 2024. He’s traveled with Voz to New Jersey for the Somos Más Asamblea with the National Day Labor Organizing Network, graduated from their Emergency Preparedness Cohort, and completed the accredited irrigation program in partnership with Portland Community College. He has stepped up in leadership and job training programs, demonstrating resilience, dedication, and an unwavering commitment to building a better future—for himself and the community Jorge’s detention is unjust, and part of a broader system that criminalizes migrants and day laborers. We know that solo el pueblo salva al pueblo, and we will not stand by while our people are taken. Please DONATE to cover legal fees, bond if granted, lost wages, funds for commissary expenses, travel costs for loved ones in Oregon to visit him, and financial relief for his family. Every dollar raised will help protect Jorge’s future, whether he remains in the U.S. or faces deportation. DONATE & SHARE! THANK YOU!"
Help Free Pedro from ICE,legal aid fundraising,https://www.gofundme.com/f/help-free-pedro-from-ice,NDLON,"Pedro, a Day Laborer, was abducted by Immigration and Customs Enforcement (ICE) while seeking work at a Pasadena corner. He needs our support to pay for his legal fees. Pedro is 55 years old and has been in the U.S. for over 30 years with his family. He has type 2 diabetes and takes medication, but doesn't have it with him. We need to get him out of detention immediately!"
"Help Carlos, a Day Laborer Abducted by ICE",legal aid fundraising,https://www.gofundme.com/f/help-carlos-fight-deportation-after-being-abducted-by-ice?utm_campaign=pd_ss_icons&utm_content=amp13_t1-amp14_t2-amp15_t2&utm_medium=customer&utm_source=copy_link&attribution_id=sl%3Aac0f1afa-5468-478d-ad2a-ee2f6bba09ab&ts=1750440672,NDLON,"Carlos has lived in the United States for 14 years. He’s a hardworking day laborer who simply wanted a better life for himself and his family. But last week, while standing at a corner in Pasadena looking for work, Carlos was suddenly picked up by ICE. No warning. No cause. Just taken. Now he’s sitting in detention, completely isolated and vulnerable, with no way to defend himself. He’s never had an immigration case. He’s not a threat—he’s a father, a worker, a human being who deserves dignity and due process. To make matters worse, Carlos has been experiencing sudden fainting spells, and his family is worried about his health. He has no access to proper medical care in detention. Carlos urgently needs a lawyer to fight his deportation—but immigration attorneys are expensive. Please donate to help with his fees. No one should be ripped from their community just for trying to work. Let’s show Carlos that he is not alone."
The LOVE Fund for immigrant families,support,bit.ly/lavoicelovefund,LA Voice,"The Love Fund provides direct cash assistance to individuals and families impacted by the ongoing coordinated ICE raids. Your donation goes directly to families, covering loss of income, groceries, diapers, medical costs, legal aid, and more. Give today!"
,,,,
We Got Us! Fundraiser for Migrant Families Impacted by ICE Raids,fundraising,https://www.instagram.com/p/DL0bjYYBTQH/?utm_source=ig_web_copy_link,carwasherxs,Come to @outlook_is___projects THIS THURSDAY to support our community and families impacted by ICE! This is a FUNDRAISER! Bring cash and gift cards 💸🙏 This is a poetry reading and art showcase. Bring your friends and family to show up and hold each other up during this scary time! Love!
