Organization,Services,Link,Social,Description
CHIRLA Immigrant Rights Fundraiser,Recaudacion de fondos  para ayuda legal,https://www.chirla.org/donatenow/,,"Donar a CHIRLA es fundamental para proteger a las familias, ya que proporciona servicios legales y de defensa esenciales que salvaguardan los derechos de los inmigrantes, garantizando que las comunidades vulnerables tengan voz y un sistema de apoyo. Durante más de 39 años, CHIRLA ha tenido un gran impacto al empoderar a los inmigrantes a través de la educación, la asistencia legal y el cambio de políticas."
Immigrant Defenders Law Center Fundraiser,Recaudacion de Fondos para ayuda legal ,https://give.immdef.org/give/545119#!/donation/checkout,Immigrant Defenders Law Center,Imaginamos un mundo en el que ningún inmigrante se vea obligado a enfrentarse solo a un sistema de inmigración injusto.
Familias Reunidas Bond Program,Recaudacion de Fondos para ayuda legal ,https://www.borderangels.org/bond-program.html,Border Angels,"El Programa de Bonos Familias Reunidas se creó en diciembre de 2019 como respuesta a la agenda antiinmigrante que sigue defendiendo la actual administración, que tiene como resultado el encarcelamiento de inmigrantes y solicitantes de asilo en los centros de detención del ICE."
Community Justice Exchange Bail Fund Network,Recaudacion de Fondos para ayuda legal ,https://www.communityjusticeexchange.org/en/nbfn-directory#california-en,Community Justice Exchange,La Red Nacional de Fondos de Fianzas está compuesta por más de noventa fondos comunitarios de fianzas y cauciones en todo el país. Actualizamos periódicamente esta lista de fondos comunitarios de fianzas que liberan a personas mediante el pago de fianzas/cautiones y que también luchan por abolir el sistema de fianzas monetarias y la detención preventiva.
Carlos and Iker Need Help After Celina's Abduction by ICE,Rcaudacin de fondos para Ayuda legal de una familia ,https://www.gofundme.com/f/carlos-and-son-need-help-after-celinas-abduction-by-ice,@valariekaur,"Celina llegó a Estados Unidos hace dos años con su pareja, Carlos, y su hijo Iker Javier, que ahora tiene 4 años, con la esperanza de construir una vida mejor. Trabajó duro vendiendo tacos en las calles de Ladera Heights, en Los Ángeles, haciendo todo lo posible para mantener a su familia. Pero el lunes todo cambió. Mientras trabajaba frente a Home Depot, Celina fue atacada repentinamente por varios hombres enmascarados que la obligaron a subir a un coche y se la llevaron. Ahora se encuentra en un centro de detención del ICE, lejos de su familia. Carlos, un jornalero, se ha quedado solo, cuidando de su hijo pequeño, que no deja de preguntar cuándo volverá su mamá a casa. Celina es madre, pareja y un miembro muy querido de su comunidad. Se merece estar a salvo. Su familia necesita urgentemente nuestro apoyo. Están atravesando esta pesadilla y necesitarán ayuda legal y estabilidad. Estamos recaudando fondos para ayudar a Carlos y a su hijo mientras intentan mantener sus vidas en orden. Por favor, done, comparta su historia y apoye a esta familia. Nadie debería desaparecer sin dejar rastro mientras intenta hacer su trabajo. Demostremos a la familia de Celina que no están solos."
Ayuda a liberar a Isaac de la detención del ICE,asistencia jurídica gratuita,https://www.gofundme.com/f/urgent-help-needed-support-isaacs-legal-fight-against-ice,NDLON,"Isaac lleva más de una década viviendo en Estados Unidos. Estudió artes culinarias y trabajó en restaurantes de Los Ángeles. En la madrugada del 18 de junio, fue secuestrado por agentes enmascarados en una redada del ICE mientras esperaba con sus compañeros de trabajo a que los recogieran para ir al trabajo. Isaac se ha construido una vida aquí, una comunidad y un futuro. Pero ahora todo eso está en peligro. Isaac lleva más de dos semanas detenido. Pronto tendrá una audiencia para fijar la fianza, pero no tiene forma de pagarla si se le concede. Por favor, done lo que pueda, ninguna cantidad es demasiado pequeña. Los fondos se destinarán a cubrir la fianza si se concede, los gastos legales y a ayudar a Isaac a recuperarse tras su detención. Su apoyo podría marcar la diferencia entre la libertad y la separación permanente de la vida que Isaac se ha construido en Estados Unidos."
Petición a Home Depot,Petición de boicot,https://actionnetwork.org/petitions/tell-home-depot-get-ice-out-now,NDLON,"Cada día, los agentes del ICE persiguen a los jornaleros en los aparcamientos de Home Depot, deteniendo y deportando a trabajadores que solo intentan sobrevivir. Se trata de una crisis de derechos humanos. Hombres enmascarados, armados y sin rendir cuentas, están aterrorizando a los trabajadores, los clientes y las comunidades circundantes. Esto está ocurriendo bajo la mirada de Home Depot, en su propiedad y con su silencio. Exigimos que Home Depot actúe de inmediato: Condene públicamente las redadas del ICE en su propiedad. Prohíba que las autoridades federales de inmigración utilicen sus estacionamientos para perseguir a los jornaleros. Se comprometa a crear espacios seguros y acogedores para todas las personas, independientemente de su estatus. Si alguien no se siente seguro en sus tiendas, entonces ninguno de nosotros está seguro. Si Home Depot permanece en silencio, será cómplice. Y no solo se enfrentará a la vergüenza moral, sino también a la pérdida de confianza y de negocio en todo Estados Unidos y más allá."
¡Ayúdanos a traerla de vuelta con su familia!,Recaudación de fondos para asistencia jurídica gratuita,https://www.gofundme.com/f/fondos-para-pago-migratorio-ana-larin?attribution_id=sl:82bdf5fc-1150-4a02-9e19-9dbc24229950&utm_campaign=natman_sharesheet_dash&utm_medium=customer&utm_source=copy_link,NDLON,"Apoyemos a Ana Larín y a sus hijas: una madre que lucha por reunirse con sus hijas y darles un futuro mejor. Ana Larín es una valiente madre salvadoreña de dos hijas pequeñas, una de las cuales tiene solo 4 años y padece autismo. Como cualquier madre, el mayor sueño de Ana es darles a sus hijas seguridad, amor y un futuro digno. Pero hoy, Ana necesita nuestra ayuda. Ana fue arrestada en Chelsea, Massachusetts, y actualmente se encuentra detenida en Texas, a la espera de su próxima audiencia en el tribunal de inmigración el 14 de julio. Su corazón está destrozado por estar lejos de sus hijas, especialmente de la más pequeña, que necesita cuidados especiales. Estamos recaudando fondos para contratar a un abogado de inmigración que pueda representar a Ana en ese día crucial, para que pueda luchar por su derecho a permanecer legalmente en los Estados Unidos y reunirse con sus hijas. Ana solo quiere la oportunidad de trabajar honestamente y criar a sus hijas en un entorno seguro y estable. Su donación puede ayudar a cambiar el rumbo del futuro de esta familia. Con su apoyo, Ana podrá recibir una defensa legal adecuada, recuperar su libertad y volver a los brazos de sus hijas, que la esperan con esperanza y amor. Gracias por su generosidad, por ofrecer esperanza y por creer en la fuerza del amor de una madre."
Devuelve a Rosalina a sus hijos.,Recaudación de fondos para asistencia jurídica gratuita,https://www.gofundme.com/f/bring-rosalina-back-to-her-children?attribution_id=sl:4c21abd7-1b1d-4dad-aef8-9d4a294d6ef9&lang=en_US&utm_campaign=man_ss_icons&utm_medium=_,NDLON,"Ayuda a traer a Rosalina a casa. En la mañana del 28 de junio de 2025, en Pasadena, California, Rosalina fue detenida injustamente por agentes federales de inmigración. Los agentes afirmaron que estaban buscando a otra persona, pero aun así detuvieron a Rosalina, a pesar de no tener motivos para hacerlo. Lo más devastador es que esto ocurrió delante de sus hijos. Rosalina es una persona muy querida en nuestra comunidad, una madre trabajadora que hace todo lo posible por construir una vida mejor para sus hijos. Ha trabajado incansablemente como cuidadora de personas mayores, ofreciendo consuelo, compañía y dignidad a quienes más lo necesitan. Su calidez y generosidad iban mucho más allá de su trabajo; en casa, Rosalina era conocida como la madre que siempre recibía a los amigos de sus hijos con una cálida sonrisa, un plato lleno y un corazón abierto. Rosalina es una persona muy querida en nuestra comunidad, una madre trabajadora que hace todo lo posible por construir una vida mejor para sus hijos. Ha trabajado incansablemente como cuidadora de personas mayores, ofreciendo consuelo, compañía y dignidad a los más necesitados. Su calidez y generosidad iban mucho más allá de su trabajo; en casa, Rosalina era conocida como la madre que siempre recibía a los amigos de sus hijos con una cálida sonrisa, un plato lleno y un corazón abierto. Estamos desconsolados e indignados. Nadie debería ser separado de su familia de esta manera. La detención de Rosalina ha dejado a sus hijos traumatizados y sin el cuidado y el amor diarios que solo una madre puede dar. Estamos recaudando fondos para apoyar la defensa legal de Rosalina, cubrir las necesidades básicas de sus hijos durante este doloroso momento y ayudar a traerla de vuelta a casa, donde pertenece. Por favor, considere donar lo que pueda. Cada dólar ayuda. Y si no puede donar, por favor, comparta esta campaña con sus redes. Juntos, podemos luchar contra esta injusticia y traer a Rosalina de vuelta con su familia."
Fondo de Defensa Comunitaria Oscar Bermúdez,Recaudación de fondos para asistencia jurídica gratuita,https://www.gofundme.com/f/oscar-bermudes-community-defense-fund,NDLON,"¡Solidaridad con Oscar Bermúdez y su familia! En 2023, mientras conducía su camioneta de trabajo, el GPS de nuestro amigo Oscar lo llevó a Canadá durante unos minutos, y desde entonces ha estado luchando contra su deportación. La familia Bermúdez se mudó a Kearny desde El Salvador hace casi veinte años. Oscar y su familia son organizadores comunitarios del Movimiento Cosecha Nueva Jersey. En el punto álgido de la pandemia de Covid, Oscar y su esposa María repartieron comida a las familias inmigrantes más afectadas. Si alguna vez has asistido a un evento de Cosecha y has probado las deliciosas pupusas, es probable que fueran de María. María y Oscar están locamente enamorados y suelen dirigirse directamente el uno al otro cuando hablan en nuestras protestas y manifestaciones. Recientemente renovaron su compromiso mutuo en septiembre de 2024. Tienen tres hijos preciosos (Liseth, Oscar Jr. y Angelito) que piden tu apoyo. Como comunidad, somos la primera línea de defensa y no vamos a permitir que ningún presidente nos intimide con el miedo. Ahora que la administración Trump inicia su guerra contra las comunidades de inmigrantes en todo el país, debemos asegurarnos de que Oscar y su familia cuenten con el apoyo que necesitan. Oscar ha tenido que faltar al trabajo mientras se ocupaba de los trámites de su caso, y varios miembros de su familia tienen graves problemas de salud. Mientras Oscar y su familia se preparan para su próxima cita con el ICE, queremos asegurarnos de que no tengan que preocuparse por los gastos de subsistencia y las facturas médicas de su esposa. Agradecemos su apoyo y solidaridad. Por favor, comparta ampliamente esta recaudación de fondos."
Justicia para Jorge: Luchando contra la detención por parte del ICE,Recaudación de fondos para asistencia jurídica gratuita,https://www.gofundme.com/f/justice-for-jorge-fighting-back-against-ice-detention?attribution_id=sl:cc37969a-c1b2-451a-b25d-c1781fcf3b04&lang=en_US&utm_campaign=man_ss_icons&utm_medium=customer&utm_source=copy_link,NDLON,"Jorge es un solicitante de asilo de 22 años procedente de Venezuela que ya ha sobrevivido a más de lo que nadie debería tener que soportar. Huyó de su país natal para escapar de la violencia extrema, la inestabilidad política y económica, y las condiciones que ponían en peligro su vida, arriesgándolo todo en busca de seguridad. Ahora, en lugar de recibir compasión, ha sido detenido injustamente por el ICE. El 19 de febrero de 2025, Jorge recibió una llamada del ICE en la que se le ordenaba presentarse al día siguiente. Él obedeció, como siempre ha hecho a lo largo de su proceso de asilo. Pero cuando llegó el 20 de febrero, se le informó de que su caso estaba siendo sometido a una «reevaluación de la custodia». En lugar de ser puesto en libertad, fue enviado al Centro de Detención del Noroeste (Centro de Procesamiento del ICE del Noroeste), donde ahora espera la fecha de su juicio. El 20 de marzo, Jorge tiene su audiencia de calendario maestro, en la que solicitará una fianza, que podría ascender a 15 000 dólares. El viaje de Jorge a los Estados Unidos ha estado lleno de enormes dificultades y valentía. Después de huir de Venezuela, primero buscó refugio en Colombia, luego en Ecuador, solo para enfrentarse a más violencia e inestabilidad. Decidido a encontrar seguridad, cruzó el Tapón del Darién, no una, sino dos veces, soportando extorsiones, amenazas y los horrores de una ruta migratoria en la que muchos pierden la vida. Su decisión de venir a los Estados Unidos no fue tomada a la ligera, sino que fue un intento desesperado por sobrevivir, construir un futuro y mantener a su familia. Jorge es un miembro muy querido de nuestra comunidad. Todos los que lo conocen pueden dar fe de su amabilidad, su alegría contagiosa y su fuerza inquebrantable. Participa activamente en su comunidad en general a través de su dedicación al trabajo religioso con su iglesia: Iglesia de Jesucristo Pentecostal de Las Tinieblas a La Luz. Le encanta bailar bachata y practicar cualquier tipo de deporte. Es un amigo dedicado que haría cualquier cosa para ayudar a quienes lo rodean. Además, Jorge ha sido un líder activo en el Proyecto de Educación sobre los Derechos de los Trabajadores de Voz desde marzo de 2024. Ha viajado con Voz a Nueva Jersey para la Asamblea Somos Más con la Red Nacional de Organización de Jornaleros, se graduó en su Cohorte de Preparación para Emergencias y completó el programa acreditado de irrigación en colaboración con el Portland Community College. Ha dado un paso adelante en programas de liderazgo y formación laboral, demostrando resiliencia, dedicación y un compromiso inquebrantable con la construcción de un futuro mejor, tanto para él como para la comunidad. La detención de Jorge es injusta y forma parte de un sistema más amplio que criminaliza a los migrantes y a los jornaleros. Sabemos que solo el pueblo salva al pueblo, y no nos quedaremos de brazos cruzados mientras se llevan a nuestra gente. Por favor, HAGA UNA DONACIÓN para cubrir los gastos legales, la fianza si se concede, los salarios perdidos, los gastos de la comisaría, los gastos de viaje de sus seres queridos en Oregón para visitarlo y la ayuda económica para su familia. Cada dólar recaudado ayudará a proteger el futuro de Jorge, tanto si permanece en Estados Unidos como si se enfrenta a la deportación. ¡DONE Y COMPARTIR! ¡GRACIAS!"
Ayuda a liberar a Pedro de ICE,Recaudación de fondos para asistencia jurídica gratuita,https://www.gofundme.com/f/help-free-pedro-from-ice,NDLON,"Pedro, un jornalero, fue secuestrado por el Servicio de Inmigración y Control de Aduanas (ICE) mientras buscaba trabajo en una esquina de Pasadena. Necesita nuestro apoyo para pagar sus gastos legales. Pedro tiene 55 años y lleva más de 30 años en Estados Unidos con su familia. Tiene diabetes tipo 2 y toma medicación, pero no la lleva consigo. ¡Tenemos que sacarlo de la cárcel inmediatamente!"
"Ayuda a Carlos, un jornalero secuestrado por ICE",Recaudación de fondos para asistencia jurídica gratuita,https://www.gofundme.com/f/help-carlos-fight-deportation-after-being-abducted-by-ice?utm_campaign=pd_ss_icons&utm_content=amp13_t1-amp14_t2-amp15_t2&utm_medium=customer&utm_source=copy_link&attribution_id=sl%3Aac0f1afa-5468-478d-ad2a-ee2f6bba09ab&ts=1750440672,NDLON,"Carlos lleva 14 años viviendo en Estados Unidos. Es un trabajador jornalero muy trabajador que solo quería una vida mejor para él y su familia. Pero la semana pasada, mientras estaba en una esquina de Pasadena buscando trabajo, Carlos fue detenido repentinamente por el ICE. Sin previo aviso. Sin motivo. Simplemente lo llevaron. Ahora está detenido, completamente aislado y vulnerable, sin forma de defenderse. Nunca ha tenido un caso de inmigración. No es una amenaza: es un padre, un trabajador, un ser humano que merece dignidad y un proceso justo. Para empeorar las cosas, Carlos ha estado sufriendo desmayos repentinos y su familia está preocupada por su salud. No tiene acceso a atención médica adecuada en el centro de detención. Carlos necesita urgentemente un abogado para luchar contra su deportación, pero los abogados de inmigración son caros. Por favor, done para ayudar con sus honorarios. Nadie debería ser arrancado de su comunidad solo por intentar trabajar. Demostremos a Carlos que no está solo."
El Fondo LOVE para familias inmigrantes,apoyo,bit.ly/lavoicelovefund,LA Voice,"El Fondo Love proporciona ayuda económica directa a personas y familias afectadas por las redadas coordinadas que está llevando a cabo el ICE. Tu donación va directamente a las familias, cubriendo la pérdida de ingresos, la compra, los pañales, los gastos médicos, la asistencia jurídica y mucho más. ¡Dona hoy mismo!"
¡Nos tenemos los unos a los otros! Recaudación de fondos para familias migrantes afectadas por las redadas del ICE,recaudación de fondos,https://www.instagram.com/p/DL0bjYYBTQH/?utm_source=ig_web_copy_link,carwasherxs,¡Ven a @outlook_is___projects ESTE JUEVES para apoyar a nuestra comunidad y a las familias afectadas por ICE! ¡Se trata de una RECAUDACIÓN DE FONDOS! Trae dinero en efectivo y tarjetas regalo 💸🙏. Será una lectura de poesía y una exposición de arte. ¡Trae a tus amigos y familiares para que se apoyen mutuamente en estos momentos tan difíciles! ¡Con cariño!
